vehicle,event_id,mode,candidate_count,dropped_busy_frames,warnings,rule_line
kia,1,state,1,0,,"1:B:0,ID:541,BY:4,BI:3,D:1;"
kia,2,state,1,0,,"2:B:0,ID:541,BY:1,BI:0,D:1;"
kia,4,state,1,0,,"4:B:0,ID:553,BY:2,BI:7,D:1;"
kia,5,state,1,0,,"5:B:0,ID:553,BY:3,BI:0,D:1;"
kia,6,state,1,0,,"6:B:0,ID:541,BY:1,BI:4,D:1;"
kia,16,button,1,0,,"16:B:0,ID:112,BY:0,BI:3,D:1;"
kia,17,button,1,0,,"17:B:0,ID:168,BY:5,BI:2,D:1;"
kia,34,button,0,0,,34:error:No changes found
kia,35,button,0,0,,35:error:No changes found
kia,36,button,2,0,,"36:B:0,ID:120,BY:0,BI:4,D:1;B:0,ID:120,BY:0,BI:6,D:1;"
kia,37,button,2,0,,"37:B:0,ID:120,BY:0,BI:5,D:1;B:0,ID:120,BY:0,BI:6,D:1;"
kia,38,button,2,0,,"38:B:0,ID:120,BY:4,BI:0,D:1;B:0,ID:120,BY:4,BI:2,D:1;"
kia,39,button,2,0,,"39:B:0,ID:120,BY:4,BI:1,D:1;B:0,ID:120,BY:4,BI:2,D:1;"
kia,40,button,2,0,,"40:B:0,ID:120,BY:4,BI:5,D:1;B:0,ID:120,BY:4,BI:7,D:1;"
kia,41,button,2,0,,"41:B:0,ID:120,BY:4,BI:6,D:1;B:0,ID:120,BY:4,BI:7,D:1;"
